,Item_Code,Item_Type,Item_Fat_Content,Item_Type_Cluster,Is_Misc_Item,Item_MRP,Mean_LogSale_per_Item_Identifier,Mean_LogSale_per_Outlet_Identifier,Mean_LogSale_per_Item_Profile,Sales_to_MRP,Item_Profile,Outlet_Type,Outlet_Age,Item_Profile_Freq_Bin,Median_Log_Sales_ItemCluster_OutletType,Median_Log_Sales_per_Outlet,Median_Log_Sales_per_Item_Cluster,Median_Log_Sales_per_ItemProfile_OutletType,MRP_per_Year,Median_Log_Sales_Per_City_Tier,Median_MRP_ItemType_Per_Tier,MRP_Deviation_From_Tier_Median,Abs_MRP_Deviation,Median_Log_Sales_per_Item_OutletType,Median_Sales_per_Item_OutletType
2986,1,5,0,4,0,210.3954,8.175335751161294,7.341617482908678,7.249239307292764,23.77185812997812,8,2,16,0,7.417477939024452,7.41226797690749,7.49294468503679,7.408375753103087,13.1497125,7.502907590270665,129.431,80.96439999999998,80.96439999999998,7.408375753103087,1648.8537
230,2,9,0,2,0,165.6526,7.481015918744596,8.014763560293618,7.340016325695475,28.78992180020113,15,3,40,0,8.121466470910779,8.121466470910779,7.550937125130511,8.137556285019322,4.1413150000000005,7.502907590270665,153.7498,11.902800000000012,11.902800000000012,8.137556285019322,3419.5488
8027,0,4,0,3,0,153.0998,7.242795360965467,7.501098700914035,6.954477558442591,32.14630979269732,0,1,28,0,7.609222379182855,7.573942169284693,7.494797222203446,7.265721054029824,5.467849999999999,7.305455015205315,145.0128,8.086999999999989,8.086999999999989,7.571016267748703,1940.1412
4567,2,11,0,1,1,144.747,8.08213814599345,5.5502634016873245,7.214970186209617,0.988946230319108,16,0,40,0,5.372439195748607,5.584702693357622,7.447033773284233,5.372439195748607,3.618675000000001,7.305455015205315,142.08120000000002,2.66579999999999,2.66579999999999,5.372439195748607,214.3876
5621,1,13,0,4,0,92.8146,7.952545737591742,7.501098700914035,7.353094745785227,22.60351065457375,12,1,28,0,7.583980893998901,7.573942169284693,7.49294468503679,7.644097476216769,3.3148071428571426,7.305455015205315,147.5247,-54.7101,54.7101,7.644097476216769,2087.283
354,1,13,1,4,0,55.2956,8.007619450384627,7.542041168091658,7.373886730860339,22.70883759286453,12,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.644097476216769,2.126753846153846,7.305455015205315,147.5247,-92.2291,92.2291,7.644097476216769,2087.283
5692,1,1,0,4,0,123.8414,7.016242767542134,7.472976498600231,7.327492079082813,10.822353429467048,4,1,23,0,7.583980893998901,7.515314505368987,7.49294468503679,7.591680300741563,5.384408695652174,7.60342826700307,126.252,-2.4106000000000023,2.4106000000000023,7.591680300741563,1980.755
7168,1,13,1,4,0,112.0544,7.644992548074869,5.533153601523527,7.36003598848004,1.9964303052802923,12,0,27,0,5.558089741325828,5.526809787121378,7.49294468503679,5.738475573655711,4.150162962962963,7.502907590270665,147.5102,-35.4558,35.4558,5.738475573655711,309.597
7001,1,10,1,3,0,212.4586,8.474802511856968,7.501098700914035,7.283695193338166,17.881388656425294,10,1,28,0,7.609222379182855,7.573942169284693,7.494797222203446,7.60872716652003,7.587807142857143,7.305455015205315,140.318,72.14059999999998,72.14059999999998,7.60872716652003,2014.7108
5649,1,10,0,3,0,37.8822,6.177586742911202,8.014763560293618,7.295400944042438,26.960873444520125,10,3,40,0,8.191943178961345,8.121466470910779,7.494797222203446,8.101989462562209,0.947055,7.502907590270665,143.7812,-105.89900000000002,105.89900000000002,8.101989462562209,3300.0377
5326,1,6,0,3,0,233.2642,8.565709612684781,7.452492847391517,7.330424462937938,16.934409137793118,9,1,23,0,7.609222379182855,7.515314505368987,7.494797222203446,7.626406450193304,10.141921739130437,7.60342826700307,147.6418,85.6224,85.6224,7.626406450193304,2050.664
7992,1,13,0,4,0,187.9556,8.07168918469577,7.525084721442317,7.36003598848004,12.986166945810606,12,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.644097476216769,7.229061538461538,7.305455015205315,147.5247,40.43090000000001,40.43090000000001,7.644097476216769,2087.283
737,1,13,0,4,0,120.9072,7.036654799381592,7.542041168091658,7.373886730860339,12.158799475961724,12,1,26,0,7.583980893998901,7.584319360533787,7.49294468503679,7.644097476216769,4.650276923076923,7.305455015205315,147.5247,-26.617499999999996,26.617499999999996,7.644097476216769,2087.283
7515,1,13,1,4,0,65.7484,6.574268745605982,7.4773228928017215,7.374825138247131,5.954371513223135,12,1,38,0,7.583980893998901,7.626403080219326,7.49294468503679,7.644097476216769,1.730221052631579,7.502907590270665,147.5102,-81.7618,81.7618,7.644097476216769,2087.283
